"","timestamp","HAB1","HAB2","HAB3","PU1","PU2","PU3","PU4","PU5","SAT1","SAT2","PEOU1","PEOU2","PEOU3","PEOU4","CONF1","CONF2","CONF3","PI1","PI2"
"1","6/26/2025 11:09:07",5,5,5,5,4,3,4,5,4,4,2,2,2,4,4,4,5,0,0
"2","6/26/2025 17:19:57",2,2,2,4,4,2,3,3,3,4,2,3,2,4,4,3,3,0,0
"3","6/26/2025 22:16:33",4,5,5,5,5,4,5,5,5,5,4,5,1,5,5,5,5,0,2
"4","6/26/2025 22:17:39",1,4,3,3,5,5,4,3,5,5,5,5,3,3,5,3,4,1,2
"5","6/26/2025 22:29:57",3,3,3,3,3,3,3,3,5,3,3,4,2,4,3,3,4,0,3
"6","6/26/2025 22:41:38",4,5,5,5,5,5,5,5,3,3,1,2,2,5,4,4,4,1,0
"7","6/26/2025 22:43:12",4,4,4,4,4,3,4,5,4,4,4,4,1,4,4,4,4,1,0
"8","6/26/2025 22:45:00",5,5,5,5,5,5,5,4,5,5,5,5,1,5,5,5,5,0,0
"9","6/26/2025 23:12:06",5,5,3,5,5,2,5,5,4,4,3,3,1,5,4,5,5,1,2
"10","6/26/2025 23:14:16",5,4,4,3,4,4,4,3,5,5,4,4,2,4,3,3,4,1,4
"11","6/26/2025 23:21:48",4,4,5,3,4,5,5,4,5,5,4,4,1,5,3,4,5,1,4
"12","6/26/2025 23:26:00",4,4,5,4,4,4,4,4,4,4,4,4,2,4,4,4,4,1,5
"13","6/27/2025 0:24:16",5,5,5,5,5,5,5,4,5,5,5,3,2,5,4,5,5,1,3
"14","6/27/2025 0:36:12",1,2,3,3,1,3,1,2,4,4,1,1,4,1,1,1,1,1,0
"15","6/27/2025 0:37:36",4,4,3,4,4,4,4,3,3,3,2,2,3,3,3,3,3,1,0
"16","6/27/2025 0:39:38",4,3,3,5,5,5,5,5,4,4,5,1,2,4,5,4,4,1,4
"17","6/27/2025 0:56:55",1,4,4,4,4,4,5,5,5,4,4,5,2,2,5,5,4,1,2
"18","6/27/2025 1:43:19",5,5,5,5,5,5,5,5,4,5,5,5,1,5,3,2,2,1,3
"19","6/27/2025 2:43:41",2,2,2,3,3,3,3,3,3,3,3,2,4,2,3,3,3,0,3
"20","6/27/2025 3:04:16",3,3,3,3,4,4,3,3,4,4,5,5,1,5,3,4,4,1,5
"21","6/27/2025 3:31:11",1,4,4,4,4,4,4,3,5,5,4,4,2,4,5,5,5,1,3
"22","6/27/2025 7:38:12",4,4,4,4,4,4,4,4,5,4,2,2,2,3,4,3,2,1,1
"23","6/27/2025 8:55:31",4,3,3,3,3,4,3,4,5,5,3,3,4,3,4,3,3,1,2
"24","6/27/2025 11:54:23",5,4,4,2,4,4,5,5,4,4,5,2,1,5,4,2,3,1,2
"25","6/27/2025 16:18:00",5,4,5,4,4,4,4,4,4,4,4,4,2,3,4,3,3,1,2
"26","6/28/2025 6:07:31",5,4,4,5,5,4,5,4,5,5,5,4,3,4,5,5,5,1,3
"27","6/29/2025 0:42:02",3,5,5,5,5,4,4,3,5,5,4,4,3,4,4,3,4,1,0
"28","6/30/2025 5:24:02",5,5,5,5,5,2,4,3,5,5,5,5,4,5,5,4,5,1,5
"29","7/4/2025 2:28:14",3,3,3,3,4,3,4,3,4,4,4,3,3,4,4,3,3,1,5
"30","7/4/2025 19:58:22",4,4,4,3,3,3,4,3,3,3,3,2,1,4,4,3,4,0,0
"31","7/9/2025 4:29:38",5,5,3,5,5,5,5,5,5,5,4,4,2,4,5,5,5,1,0
"32","7/9/2025 4:33:18",5,5,2,5,5,3,5,5,5,5,4,4,3,5,5,4,5,1,0
"33","7/9/2025 4:36:07",3,2,4,3,3,3,4,4,4,4,3,4,2,4,3,4,4,1,4
"34","7/9/2025 4:40:43",4,5,4,4,4,4,4,4,5,4,4,4,3,4,4,4,5,1,0
"35","7/9/2025 4:42:01",4,3,2,5,5,3,5,4,4,4,4,3,1,5,3,3,4,1,2
"36","7/9/2025 4:51:42",3,4,3,5,5,3,5,3,4,4,3,4,2,4,4,4,4,1,0
"37","7/9/2025 4:52:40",5,5,4,5,5,4,5,4,4,4,4,5,2,5,4,4,4,1,4
"38","7/9/2025 4:52:53",4,4,4,5,5,4,3,3,4,4,4,5,3,4,4,4,4,1,2
"39","7/9/2025 4:54:05",4,5,5,4,5,5,4,5,5,5,5,5,2,3,5,5,5,1,3
"40","7/9/2025 5:21:09",4,4,4,3,4,4,4,3,4,5,2,2,1,4,4,4,4,1,0
"41","7/9/2025 5:21:28",3,4,4,4,5,3,5,4,4,4,4,5,1,4,4,3,4,0,2
"42","7/9/2025 5:26:45",3,5,4,5,5,5,5,4,5,5,5,4,1,5,5,5,5,1,4
"43","7/9/2025 5:27:42",5,5,5,5,5,5,5,5,4,4,5,3,2,5,5,3,4,1,2
"44","7/9/2025 5:29:36",3,4,2,3,3,2,3,3,3,3,3,2,2,3,3,3,2,0,3
"45","7/9/2025 5:35:15",5,4,3,5,5,3,4,5,4,4,5,5,3,5,5,3,5,0,0
"46","7/9/2025 5:40:39",5,5,5,5,5,5,5,5,4,4,5,5,4,5,5,5,4,0,0
"47","7/9/2025 5:57:17",2,3,3,5,4,3,5,4,5,4,4,5,2,5,3,4,4,0,0
"48","7/9/2025 5:58:23",3,4,3,5,5,3,4,5,5,5,4,2,2,5,5,4,4,1,2
"49","7/9/2025 7:15:59",4,5,4,5,4,4,5,4,5,5,5,4,1,4,4,5,4,1,2
"50","7/9/2025 7:30:01",5,5,5,4,4,3,2,4,5,5,5,4,1,5,4,3,4,1,3
"51","7/9/2025 7:33:18",3,4,4,4,4,4,4,5,5,5,5,4,2,5,4,4,4,0,0
"52","7/9/2025 7:36:22",4,3,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,1,1
"53","7/9/2025 7:47:56",2,4,3,4,5,3,5,4,5,5,2,3,2,4,4,4,4,1,2
"54","7/9/2025 7:55:10",3,4,4,3,5,3,4,3,4,4,3,4,2,3,3,4,4,1,3
"55","7/9/2025 8:06:57",4,5,5,5,5,5,5,4,4,3,5,5,5,5,3,3,3,0,0
"56","7/9/2025 8:19:30",2,4,4,5,4,4,4,3,4,4,5,4,2,5,3,4,4,0,0
"57","7/9/2025 9:12:42",3,4,4,5,5,3,4,4,4,3,4,4,5,5,4,4,4,0,0
"58","7/9/2025 9:26:53",4,3,2,5,5,4,5,3,5,3,5,5,3,5,5,4,3,0,0
"59","7/9/2025 9:57:21",5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,1,2
"60","7/9/2025 10:09:57",4,5,5,5,5,5,5,4,4,5,5,4,3,5,3,3,4,1,4
"61","7/9/2025 10:31:35",5,2,1,4,4,2,3,3,3,3,4,3,5,3,3,3,4,0,0
"62","7/9/2025 10:47:18",3,5,5,5,5,2,5,5,5,5,2,2,1,5,5,4,5,1,0
"63","7/9/2025 14:24:42",4,3,3,5,4,4,4,3,4,4,4,4,2,3,4,4,4,0,0
"64","7/9/2025 20:07:05",5,5,5,5,5,5,5,3,4,5,5,4,1,5,4,4,5,1,3
"65","7/10/2025 1:56:14",4,4,1,3,4,3,5,5,4,4,3,3,3,3,3,3,3,0,0
"66","7/10/2025 3:32:03",3,5,3,1,1,3,2,3,4,4,3,2,2,5,5,4,4,1,4
"67","7/10/2025 4:27:04",3,3,4,4,4,3,4,3,4,4,4,4,4,4,4,4,4,1,1
"68","7/10/2025 10:57:33",2,5,4,4,5,4,5,4,5,5,3,4,2,4,4,5,4,1,0
"69","7/10/2025 22:44:27",4,5,5,4,4,5,4,4,4,4,4,5,2,5,5,4,4,1,2
"70","7/10/2025 23:14:38",3,4,4,4,4,4,4,3,3,3,4,4,3,4,4,4,4,0,0
"71","7/10/2025 23:48:37",4,3,5,4,5,5,4,4,4,5,4,5,3,5,4,5,4,1,4
"72","7/16/2025 9:06:46",4,5,4,4,5,4,3,4,5,4,4,5,2,5,4,5,4,1,2
"73","7/16/2025 9:06:58",3,4,5,5,5,5,5,4,4,4,5,4,1,5,5,5,4,1,2
"74","7/16/2025 9:11:53",5,4,4,5,4,4,4,4,4,4,5,4,2,4,5,4,4,1,2
"75","7/16/2025 9:13:16",3,4,4,3,3,4,4,3,3,4,4,4,3,4,3,2,3,1,4
"76","7/16/2025 9:13:41",3,4,3,4,3,3,4,3,4,4,3,4,3,3,4,3,3,1,5
"77","7/16/2025 9:18:30",4,5,4,4,3,3,4,4,4,4,4,3,2,4,4,3,3,1,0
"78","7/16/2025 9:20:33",4,4,5,5,5,5,5,4,4,4,5,4,3,5,4,4,4,1,3
"79","7/16/2025 9:20:45",2,1,1,5,5,5,5,5,4,4,5,5,2,5,5,4,4,0,0
"80","7/16/2025 9:24:45",5,4,5,5,4,5,4,5,4,5,5,5,2,5,4,5,4,1,3
"81","7/16/2025 9:29:55",5,4,5,5,5,4,5,4,5,5,5,4,1,5,5,4,5,1,4
"82","7/16/2025 9:32:18",4,5,5,5,5,5,5,5,4,4,5,4,1,5,4,5,5,1,2
"83","7/16/2025 10:07:03",3,4,4,4,4,5,4,4,4,5,5,2,2,4,4,4,4,1,2
"84","7/16/2025 11:18:31",4,5,5,5,5,5,4,4,5,5,5,5,1,4,5,5,5,1,3
"85","7/16/2025 11:23:25",4,5,5,5,5,4,3,3,5,5,4,5,3,5,5,5,5,1,3
"86","7/16/2025 14:48:58",4,3,3,4,3,3,4,3,4,4,4,3,3,3,3,3,4,1,5
"87","7/17/2025 3:05:23",3,2,1,4,4,4,4,3,4,4,4,3,5,4,4,3,5,0,0
"88","7/17/2025 4:39:44",3,4,1,5,5,5,5,5,5,5,5,5,1,5,5,3,4,1,0
